"job_id","job_title","salary_year_avg","job_posted_date","job_location","skill_id","skills"
1059665,"Data Analyst","350000.0","2023-06-22","San Francisco, CA",0,"sql"
1059665,"Data Analyst","350000.0","2023-06-22","San Francisco, CA",1,"python"
144450,"Data Analyst","240000.0","2023-06-21","San Francisco, CA",0,"sql"
144450,"Data Analyst","240000.0","2023-06-21","San Francisco, CA",1,"python"
1707460,"Data Analyst","175000.0","2023-01-16","Bethesda, MD",0,"sql"
1707460,"Data Analyst","175000.0","2023-01-16","Bethesda, MD",1,"python"
1707460,"Data Analyst","175000.0","2023-01-16","Bethesda, MD",5,"r"
1707460,"Data Analyst","175000.0","2023-01-16","Bethesda, MD",181,"excel"
1707460,"Data Analyst","175000.0","2023-01-16","Bethesda, MD",182,"tableau"
1707460,"Data Analyst","175000.0","2023-01-16","Bethesda, MD",202,"ms access"
136669,"Data Analyst","175000.0","2023-06-02","Orange Park, FL",215,"flow"
588023,"Data Analyst","170000.0","2023-05-12","Washington, DC",0,"sql"
588023,"Data Analyst","170000.0","2023-05-12","Washington, DC",182,"tableau"
913588,"Data Analyst","166100.0","2023-03-02","Chantilly, VA",182,"tableau"
913588,"Data Analyst","166100.0","2023-03-02","Chantilly, VA",195,"sharepoint"
712473,"Data Analyst","165000.0","2023-08-14","Anywhere",0,"sql"
712473,"Data Analyst","165000.0","2023-08-14","Anywhere",1,"python"
712473,"Data Analyst","165000.0","2023-08-14","Anywhere",5,"r"
712473,"Data Analyst","165000.0","2023-08-14","Anywhere",7,"sas"
712473,"Data Analyst","165000.0","2023-08-14","Anywhere",15,"matlab"
712473,"Data Analyst","165000.0","2023-08-14","Anywhere",93,"pandas"
712473,"Data Analyst","165000.0","2023-08-14","Anywhere",182,"tableau"
712473,"Data Analyst","165000.0","2023-08-14","Anywhere",185,"looker"
712473,"Data Analyst","165000.0","2023-08-14","Anywhere",186,"sas"
